,id,DELIVERY_DATE,TYPE_OF_RESERVES,PRODUCT,ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
122,47728186,2025-03-01,aFRR,NEG_001,121.87,GRID_TO_PROVIDER,2.0,2.0,DE,
123,47728187,2025-03-01,aFRR,NEG_001,123.9,GRID_TO_PROVIDER,2.0,2.0,DE,
124,47728188,2025-03-01,aFRR,NEG_001,126.56,GRID_TO_PROVIDER,2.0,2.0,DE,
125,47728189,2025-03-01,aFRR,NEG_001,128.63,GRID_TO_PROVIDER,2.0,2.0,DE,
126,47728190,2025-03-01,aFRR,NEG_001,130.35,GRID_TO_PROVIDER,2.0,2.0,DE,
127,47728191,2025-03-01,aFRR,NEG_001,132.78,GRID_TO_PROVIDER,2.0,2.0,DE,
128,47728192,2025-03-01,aFRR,NEG_001,134.97,GRID_TO_PROVIDER,2.0,2.0,DE,
129,47728193,2025-03-01,aFRR,NEG_001,136.82,GRID_TO_PROVIDER,2.0,2.0,DE,
130,47728194,2025-03-01,aFRR,NEG_001,139.03,GRID_TO_PROVIDER,2.0,2.0,DE,
131,47728195,2025-03-01,aFRR,NEG_001,141.29,GRID_TO_PROVIDER,2.0,2.0,DE,
132,47728196,2025-03-01,aFRR,NEG_001,143.35,GRID_TO_PROVIDER,2.0,2.0,DE,
133,47728197,2025-03-01,aFRR,NEG_001,146.04,GRID_TO_PROVIDER,2.0,2.0,DE,
134,47728198,2025-03-01,aFRR,NEG_001,148.09,GRID_TO_PROVIDER,2.0,2.0,DE,
135,47728199,2025-03-01,aFRR,NEG_001,150.36,GRID_TO_PROVIDER,2.0,2.0,DE,
136,47728200,2025-03-01,aFRR,NEG_001,151.92,GRID_TO_PROVIDER,2.0,2.0,DE,
137,47728201,2025-03-01,aFRR,NEG_001,13100.0,GRID_TO_PROVIDER,1.0,1.0,DE,
138,47728202,2025-03-01,aFRR,NEG_001,13489.0,GRID_TO_PROVIDER,1.0,1.0,DE,
139,47728203,2025-03-01,aFRR,NEG_001,13878.0,GRID_TO_PROVIDER,1.0,1.0,DE,
