dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.position,point.procurement_Price.amount,point.quantity,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.price_Measure_Unit.name,ts.quantity_Measure_Unit.name,ts.standard_MarketProduct.marketProductType,ts.type_MarketAgreement.type
procured_balancing_capacity,1,2026-02-08T13:15:00,PT15M,2026-02-08T13:30Z,2026-02-08T13:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T13:30:00,PT15M,2026-02-08T13:45Z,2026-02-08T13:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T13:45:00,PT15M,2026-02-08T14:00Z,2026-02-08T13:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T14:00:00,PT15M,2026-02-08T14:15Z,2026-02-08T14:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T14:15:00,PT15M,2026-02-08T14:30Z,2026-02-08T14:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T14:30:00,PT15M,2026-02-08T14:45Z,2026-02-08T14:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T14:45:00,PT15M,2026-02-08T15:00Z,2026-02-08T14:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T15:00:00,PT15M,2026-02-08T15:15Z,2026-02-08T15:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T15:15:00,PT15M,2026-02-08T15:30Z,2026-02-08T15:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T15:30:00,PT15M,2026-02-08T15:45Z,2026-02-08T15:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T15:45:00,PT15M,2026-02-08T16:00Z,2026-02-08T15:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T16:00:00,PT15M,2026-02-08T16:15Z,2026-02-08T16:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T16:15:00,PT15M,2026-02-08T16:30Z,2026-02-08T16:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T16:30:00,PT15M,2026-02-08T16:45Z,2026-02-08T16:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T16:45:00,PT15M,2026-02-08T17:00Z,2026-02-08T16:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T17:00:00,PT15M,2026-02-08T17:15Z,2026-02-08T17:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T17:15:00,PT15M,2026-02-08T17:30Z,2026-02-08T17:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T17:30:00,PT15M,2026-02-08T17:45Z,2026-02-08T17:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T17:45:00,PT15M,2026-02-08T18:00Z,2026-02-08T17:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T18:00:00,PT15M,2026-02-08T18:15Z,2026-02-08T18:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T18:15:00,PT15M,2026-02-08T18:30Z,2026-02-08T18:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T18:30:00,PT15M,2026-02-08T18:45Z,2026-02-08T18:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T18:45:00,PT15M,2026-02-08T19:00Z,2026-02-08T18:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T19:00:00,PT15M,2026-02-08T19:15Z,2026-02-08T19:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T19:15:00,PT15M,2026-02-08T19:30Z,2026-02-08T19:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T19:30:00,PT15M,2026-02-08T19:45Z,2026-02-08T19:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T19:45:00,PT15M,2026-02-08T20:00Z,2026-02-08T19:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T20:00:00,PT15M,2026-02-08T20:15Z,2026-02-08T20:00Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T20:15:00,PT15M,2026-02-08T20:30Z,2026-02-08T20:15Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T20:30:00,PT15M,2026-02-08T20:45Z,2026-02-08T20:30Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T20:45:00,PT15M,2026-02-08T21:00Z,2026-02-08T20:45Z,1,10.5,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T21:00:00,PT15M,2026-02-08T21:15Z,2026-02-08T21:00Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T21:15:00,PT15M,2026-02-08T21:30Z,2026-02-08T21:15Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T21:30:00,PT15M,2026-02-08T21:45Z,2026-02-08T21:30Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T21:45:00,PT15M,2026-02-08T22:00Z,2026-02-08T21:45Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T22:00:00,PT15M,2026-02-08T22:15Z,2026-02-08T22:00Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T22:15:00,PT15M,2026-02-08T22:30Z,2026-02-08T22:15Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T22:30:00,PT15M,2026-02-08T22:45Z,2026-02-08T22:30Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,1,2026-02-08T22:45:00,PT15M,2026-02-08T23:00Z,2026-02-08T22:45Z,1,7,1,B95,EUR,A03,A02,1,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-07T23:00:00,PT15M,2026-02-07T23:15Z,2026-02-07T23:00Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-07T23:15:00,PT15M,2026-02-07T23:30Z,2026-02-07T23:15Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-07T23:30:00,PT15M,2026-02-07T23:45Z,2026-02-07T23:30Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-07T23:45:00,PT15M,2026-02-08T00:00Z,2026-02-07T23:45Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T00:00:00,PT15M,2026-02-08T00:15Z,2026-02-08T00:00Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T00:15:00,PT15M,2026-02-08T00:30Z,2026-02-08T00:15Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T00:30:00,PT15M,2026-02-08T00:45Z,2026-02-08T00:30Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T00:45:00,PT15M,2026-02-08T01:00Z,2026-02-08T00:45Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T01:00:00,PT15M,2026-02-08T01:15Z,2026-02-08T01:00Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T01:15:00,PT15M,2026-02-08T01:30Z,2026-02-08T01:15Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T01:30:00,PT15M,2026-02-08T01:45Z,2026-02-08T01:30Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T01:45:00,PT15M,2026-02-08T02:00Z,2026-02-08T01:45Z,1,27.4,5,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T02:00:00,PT15M,2026-02-08T02:15Z,2026-02-08T02:00Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T02:15:00,PT15M,2026-02-08T02:30Z,2026-02-08T02:15Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T02:30:00,PT15M,2026-02-08T02:45Z,2026-02-08T02:30Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T02:45:00,PT15M,2026-02-08T03:00Z,2026-02-08T02:45Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T03:00:00,PT15M,2026-02-08T03:15Z,2026-02-08T03:00Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T03:15:00,PT15M,2026-02-08T03:30Z,2026-02-08T03:15Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T03:30:00,PT15M,2026-02-08T03:45Z,2026-02-08T03:30Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T03:45:00,PT15M,2026-02-08T04:00Z,2026-02-08T03:45Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T04:00:00,PT15M,2026-02-08T04:15Z,2026-02-08T04:00Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T04:15:00,PT15M,2026-02-08T04:30Z,2026-02-08T04:15Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T04:30:00,PT15M,2026-02-08T04:45Z,2026-02-08T04:30Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T04:45:00,PT15M,2026-02-08T05:00Z,2026-02-08T04:45Z,1,27.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T05:00:00,PT15M,2026-02-08T05:15Z,2026-02-08T05:00Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T05:15:00,PT15M,2026-02-08T05:30Z,2026-02-08T05:15Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T05:30:00,PT15M,2026-02-08T05:45Z,2026-02-08T05:30Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T05:45:00,PT15M,2026-02-08T06:00Z,2026-02-08T05:45Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T06:00:00,PT15M,2026-02-08T06:15Z,2026-02-08T06:00Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T06:15:00,PT15M,2026-02-08T06:30Z,2026-02-08T06:15Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T06:30:00,PT15M,2026-02-08T06:45Z,2026-02-08T06:30Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T06:45:00,PT15M,2026-02-08T07:00Z,2026-02-08T06:45Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T07:00:00,PT15M,2026-02-08T07:15Z,2026-02-08T07:00Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T07:15:00,PT15M,2026-02-08T07:30Z,2026-02-08T07:15Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T07:30:00,PT15M,2026-02-08T07:45Z,2026-02-08T07:30Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T07:45:00,PT15M,2026-02-08T08:00Z,2026-02-08T07:45Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T08:00:00,PT15M,2026-02-08T08:15Z,2026-02-08T08:00Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
procured_balancing_capacity,2,2026-02-08T08:15:00,PT15M,2026-02-08T08:30Z,2026-02-08T08:15Z,1,34.4,4,B95,EUR,A03,A01,2,MAW,MAW,A01,A01
