dataset,timeseries_index,timestamp_utc,period.resolution,period.timeInterval.end,period.timeInterval.start,point.activation_Price.amount,point.imbalance_Price.category,point.position,ts.businessType,ts.currency_Unit.name,ts.curveType,ts.flowDirection.direction,ts.mRID,ts.mktPSRType.psrType,ts.price_Measure_Unit.name,ts.standard_MarketProduct.marketProductType
activated_balancing_prices,1,2026-05-23T09:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,32.98,A06,40,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T10:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,30.15,A06,41,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T10:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,5.0115,A06,42,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T10:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,0,A06,43,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T10:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,11.6526,A06,44,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T11:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,6.2315,A06,45,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T11:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,7.0318,A06,46,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T11:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,4.0222,A06,47,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T11:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,7.6068,A06,48,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T12:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,5.8982,A06,49,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T12:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,0,A06,50,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T12:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,0,A06,51,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T12:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,10.35,A06,52,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T13:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,4.4333,A06,53,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T13:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,2.0333,A06,54,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T13:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,5.0586,A06,55,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T13:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,4.3926,A06,56,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T14:00:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,8.2942,A06,57,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T14:15:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,47.9564,A06,58,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T14:30:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,22.1042,A06,59,A96,EUR,A03,A01,1,A04,MWH,A01
activated_balancing_prices,1,2026-05-23T14:45:00,PT15M,2026-05-24T00:00Z,2026-05-23T00:00Z,99.3285,A06,60,A96,EUR,A03,A01,1,A04,MWH,A01
